name,distance,time,elevation_gain,moving_time,average_heartrate,max_heartrate
Easing back 2 it,5.4737814132,2024-03-04T23:47:36Z,13,2689,147.3,165
We backk,10.004508059700001,2024-03-03T14:25:09Z,24.6,4380,148.5,163
Back on the road,5.0818205864,2024-03-01T20:28:39Z,25,2368,146.7,162
45 Treadmill,5.472600808299999,2024-02-28T20:40:14Z,0,2701,140.6,177
Back to the grind....next week,3.641855431,2024-02-25T16:31:59Z,0,1802,150.4,180
Afternoon Run,2.328277137,2024-02-20T20:09:13Z,4,1186,158.6,173
Cdmx jog,1.2267727653,2024-02-20T18:16:47Z,17,658,153,173
Afternoon Hike,2.2785053199000003,2024-02-19T01:16:59Z,166,3356,101.2,133
Balboa jog,4.0037419014,2024-02-18T14:52:29Z,76,1900,161.4,179
Lunch Run,0.4176855862,2024-02-17T20:52:55Z,2,245,132.8,149
Running to the Fishing Pier,6.579697519,2024-02-16T17:43:52Z,34,3156,150.3,166
It's nice out here ☀️,11.369660146700001,2024-02-15T17:36:27Z,105,5232,151.8,168
30 min TM after a bro split workout,3.818324795,2024-02-12T23:50:42Z,0,1827,146.4,157
Pre super bowl run,4.1680323938,2024-02-11T20:04:40Z,6,1912,149.4,162
Been a while since I played,0,2024-02-10T19:32:35Z,0,4999,99.7,132
Queens 👑 chilling 🏃,4.479525676100001,2024-02-10T14:59:36Z,32,2208,148.7,164
Steady effort,7.011923186600001,2024-02-09T22:49:59Z,4,3275,149.6,170
Feels like Friday,4.806180410800001,2024-02-08T22:21:31Z,9,2241,143.9,160
Getting back into it. Ankle feeling better,3.8063944718,2024-02-07T23:08:47Z,10,2318,136.9,154
Uni sphere run,2.9956917281,2024-02-02T00:37:13Z,16,1503,152.4,175
Still sore!,7.9316765408,2024-01-31T22:20:30Z,103,3794,151.6,165
Cold rainy hilly,13.324493312700001,2024-01-28T13:00:31Z,222,5850,160.7,186
Morning Run,0.5327013583,2024-01-28T11:59:00Z,36,242,143,160
30 minute treadmill,3.7238764030000002,2024-01-27T17:31:52Z,0,1801,151,168
Easy run. No idea why my heart rate was so high!,4.42416152,2024-01-26T22:53:33Z,17,2191,156,177
Drenched 💦🥴,8.295799946799999,2024-01-24T23:35:57Z,103,3727,150.4,164
Easy miles to Duane Reade,4.1305015854,2024-01-23T23:31:48Z,30,1984,135,158
Wind was tough on the way back,7.557238376200001,2024-01-22T23:32:43Z,31,3586,152.6,166
Treadmill and gym,5.298430517,2024-01-21T20:09:43Z,0,2514,142.2,163
Chilly Fun Run,6.3349394821,2024-01-20T15:23:28Z,72,2906,160.5,174
More to upload. Thought gps was wrong,1.6965292413000002,2024-01-20T15:05:35Z,46,945,154,170
Looking like a Hallmark postcard today,5.0370818744,2024-01-19T18:57:52Z,72,2430,151.7,169
So icy,6.8453336215,2024-01-18T23:15:38Z,98,3194,149.6,165
Treadmill run,4.3028699008,2024-01-17T00:28:17Z,0,2100,134.9,149
Lunch Run,0.5422083346000001,2024-01-15T17:31:15Z,2,295,155,166
Solid run with my Pro Triathlete friend 💪,10.087647499500001,2024-01-15T16:10:35Z,148,4425,157.1,171
Windy hour in the park,7.7064916904,2024-01-13T19:50:39Z,130,3584,156,173
Good weather good looks,6.9010084631,2024-01-12T20:55:16Z,100,3076,155.2,169
Windy morning run,7.6186919681,2024-01-10T12:35:56Z,63,3481,153,174
40min treadmill,4.9681718305,2024-01-10T00:46:07Z,0,2400,145.6,162
😓,4.558626204399999,2024-01-09T00:00:21Z,10,2334,149.9,163
Sore post leg day run,6.7989172078,2024-01-07T19:03:11Z,7,3310,,
New year Same Grind 👷‍♂️💼🔨,11.664190000700001,2024-01-06T16:42:25Z,43,5192,158.7,176
New Pier Alert ‼️,5.377468908200001,2024-01-05T22:02:56Z,8,2482,144.1,170
Warmdown,0.8460587535999999,2024-01-05T01:04:34Z,3.4,442,,
Garmin took like a whole mile to start 🥶😓,6.0248753531000006,2024-01-05T00:19:08Z,76.9,2516,,
Treadmill run,3.674166723,2024-01-04T01:04:39Z,0,1800,135.1,149
First run of the year 🗓️,8.0983903801,2024-01-02T23:55:17Z,22,3667,147.2,168
Exactly 2023 miles for 2023!,3.1912993188999996,2023-12-31T17:38:31Z,42,1435,155.7,166
Fitness just not there!,5.0096794133,2023-12-31T16:59:46Z,65,2104,153.7,177
Afternoon Run,4.6647563712,2023-12-29T21:16:18Z,19,2260,139.3,160
Moisty,7.2595395301000005,2023-12-28T21:16:03Z,81,3458,152.8,175
🪩 2000 MILES FOR THE YEAR!🪩,4.4114855516,2023-12-27T21:09:22Z,14,2175,148.2,159
5 miles steady 1 mile fast ~1 easy,7.129735128200001,2023-12-26T21:35:43Z,9,3166,160.4,181
Running to dinner plans. Crosstown bus was too slow,1.3288018835,2023-12-25T22:30:12Z,16.3,640,,
Christmas Eve struggle run,12.057704255,2023-12-24T18:59:07Z,35,5443,151.9,171
40 min steady pace 🫀,4.9493442892,2023-12-23T20:36:32Z,17,2319,147.1,164
CP grind,6.9218243916,2023-12-22T22:12:51Z,97,3316,147.4,166
Had to pickup the pace 🧻🚽,5.407170442,2023-12-21T20:16:26Z,23,2302,150.9,165
Took a while for Garmin to load,0.36089227679999997,2023-12-21T20:13:34Z,0,170,,
Not as cold as I thought it'd be!,4.5834189073000005,2023-12-20T00:24:28Z,20,2156,145.8,161
Been lazy with the running,6.9650096761,2023-12-18T23:37:30Z,98,3139,142,158
Park was crowded today,6.134795883,2023-12-16T20:28:02Z,77,2797,153.8,174
🌇,5.1256272419,2023-12-15T20:27:16Z,14,2310,144.4,158
Some build up miles,6.928659472600001,2023-12-13T21:45:15Z,99,3153,154.4,178
❤️‍🔥,4.271801350800001,2023-12-12T23:07:27Z,24,2035,143.4,157
Steady 10k,6.184008466200001,2023-12-11T23:35:05Z,38,2933,151.4,162
Christmas market szn,8.1256064299,2023-12-08T21:18:19Z,102,3765,153.9,168
Not in great shape ☠️,6.0927290662999996,2023-12-07T23:54:29Z,28,2884,146.7,161
1900 miles for 2023,8.436975438,2023-12-06T22:03:17Z,113,3838,153.4,172
20min on treadmill,2.4992162991,2023-12-03T23:43:09Z,0,1210,133.7,146
First long run since the thon,10.045704957,2023-12-02T19:18:02Z,21,4455,145.7,162
Human Highlighter,5.3496936245,2023-12-01T19:58:33Z,26,2480,157.4,182
Recovery Jog,3.2114938763999996,2023-11-29T16:07:28Z,46,1722,152.6,169
Deliberate effort for the Segment CR,5.340683745,2023-11-29T15:26:35Z,12,2322,150,171
Moonshape,5.7023838041,2023-11-28T15:33:52Z,33,2663,156,169
Sunset trail run,4.7028464135,2023-11-27T23:52:47Z,79,2446,153.8,166
Hard 40 mpw,9.0072697418,2023-11-26T15:58:31Z,57,4124,158,170
2nd rotd,2.5144398886,2023-11-25T20:23:39Z,9,1328,147.8,162
Good weather good vibes,5.7753948966,2023-11-25T14:49:55Z,83,2901,151.2,168
7 in the tuke,7.2776835633,2023-11-24T21:59:44Z,39,3123,161.1,178
Turkey 🦃 Trot 🦃 with Lily,3.329305818,2023-11-23T14:54:46Z,31,1732,146.8,163
Warmdown,1.5849310097,2023-11-22T18:27:59Z,6,756,144.7,165
Not ready for gnarly workouts just yet!,6.4983600551,2023-11-22T17:40:20Z,25,2680,152.2,180
Long sleeve weather 🌡️,4.2347676392,2023-11-20T23:45:13Z,15,2032,152.6,165
Hungover but got it ✅,5.0505656251,2023-11-19T20:46:15Z,23,2261,142.4,163
progressive effort,6.0194072883,2023-11-18T15:22:08Z,86,2453,154.4,169
Shorts and tank top weather,5.2769310804,2023-11-17T22:48:04Z,9,2392,159.1,173
First time back in CP since the thon,6.7208108731000005,2023-11-16T22:18:15Z,81,3459,149.7,169
Right on time before my 5:30 meeting,4.4089379305000005,2023-11-14T21:19:55Z,17,2092,146.1,160
Back on the road!,4.089180413899999,2023-11-13T23:49:41Z,13,2069,152,163
Humbled Grateful Proud. Best experience of my life,26.556029523800003,2023-11-05T14:11:48Z,272,12376,165.5,191
The last shakeout before my first thon,4.6389073376,2023-11-02T21:12:42Z,12,2100,154.6,167
Race week!!,4.2049418312,2023-11-01T21:18:04Z,19,1728,159.8,178
Treadmill jog,2.4372034733000003,2023-10-29T20:47:36Z,0,1201,137.6,153
It's warm out,4.3356161525,2023-10-28T20:02:03Z,9,1872,161.1,179
Cool Central Park Chilling,8.4986154412,2023-10-27T21:48:50Z,103,4062,154.2,171
Evening Run,1.2113627645,2023-10-26T23:22:11Z,8,596,143.6,154
Trying out the racers,5.11388333,2023-10-26T22:43:48Z,55,2036,158.1,181
Taper run,4.8592454942,2023-10-25T20:24:12Z,13,2160,153,177
Last long run. Feel like I'm in the best aerobic shape since High School Swim,16.0906505934,2023-10-22T15:52:11Z,220,6960,154.6,172
40min steady n rainy,5.07660107,2023-10-21T15:12:35Z,29,2408,141,159
10 min on treadmill. Going to run outside 🌧️,1.2060189739,2023-10-21T14:56:56Z,0,606,133.3,147
Hour on the treadmill,6.9872547579,2023-10-20T21:19:33Z,0,3600,143.2,160
Too dark for bridle,7.404256836,2023-10-19T22:20:10Z,73,3829,143.6,162
Hour steady,8.1371017934,2023-10-18T22:50:56Z,22,3618,151.9,167
5 miles after a looong day,5.4423400406,2023-10-17T23:48:24Z,7,2699,151.1,165
🔋,10.2648625087,2023-10-15T18:10:18Z,40,4525,154.2,169
EZ treadmill,3.5663588545000002,2023-10-14T14:20:39Z,0,1801,145.1,155
Lower loop 10k with Eric,6.3414017405,2023-10-13T20:54:29Z,71,3164,150.2,173
Evening Run,4.6828382673,2023-10-12T22:58:31Z,9,2222,155.1,163
Easy milez,4.1819511042,2023-10-10T21:03:24Z,19,2075,147.2,163
Felt good today,20.065312332,2023-10-08T13:38:24Z,245,8681,154.6,172
New Pegs. 2nd pair of them,6.0616605163,2023-10-07T17:53:56Z,39,2857,144.7,165
Overdue mwlr 🗓️,10.354774892400002,2023-10-06T20:59:42Z,21,4710,148.5,171
Flat morning run,5.556796578799999,2023-10-05T11:20:50Z,14,2475,152,167
Legs felt better after the run than before the run,9.3118036689,2023-10-04T21:38:50Z,47.9,4834,142.6,156
Beautiful afternoon on the westside,6.006979868299999,2023-10-03T21:48:30Z,12,3095,149.8,160
Garmin Server down...fine ill upload the .fit file myself,20.0063442241,2023-10-01T13:39:43Z,283,8626,161.3,188
Post flood CP,6.3139371422999995,2023-09-30T18:02:13Z,80,3237,151.1,164
Treadmill 50 min,6.0304676921,2023-09-29T19:23:31Z,0,3002,148.4,169
Hard days b2b,8.8130291672,2023-09-28T10:48:36Z,30,3599,145.6,165
Back in CP,12.3100430181,2023-09-27T11:09:54Z,133,5590,159.1,175
Afternoon Run,3.9455194387,2023-09-25T23:35:10Z,29,1866,150.5,167
Lunch Trail Run,2.7328517951,2023-09-25T17:44:03Z,125,1831,145.2,172
Afternoon Run,2.747081191,2023-09-24T21:17:48Z,49,1382,145.3,164
Realized Humidity and Heat are worse than Altitude,16.9788383008,2023-09-23T14:59:54Z,88,7493,152,175
Afternoon Run,3.6547799478000003,2023-09-22T23:08:05Z,23,1855,149.2,167
Night Run,1.3988925323,2023-09-22T04:19:56Z,6.9,840,,
Mile high city,9.0221205087,2023-09-21T18:04:07Z,45,4457,149.7,173
Wd,1.3062461161999999,2023-09-20T23:54:39Z,4,786,149.1,172
4 MP + 3 tempo-ish,7.0199388725,2023-09-20T23:04:26Z,10,2839,165.6,188
MWLR with Frank,11.192755823,2023-09-19T22:18:52Z,145,5477,149.2,164
First 20 miler of 2023,20.5639004224,2023-09-17T11:12:17Z,101,8835,156.6,178
Dirt road w Frank,6.4538077544,2023-09-16T13:59:25Z,91,3182,151.6,167
New Shoes,5.0066346954,2023-09-15T21:32:42Z,40,2301,147.1,163
Double EZ day,4.7281362132,2023-09-14T23:04:22Z,19,2368,142.2,157
RTO: Run To Office,4.5389908808,2023-09-14T11:48:06Z,28,2223,150.9,164
Hard run after a long day 🌃,8.385525919200001,2023-09-14T00:01:33Z,98,3807,157.4,177
Fasted MWLR,11.2752117547,2023-09-12T10:50:34Z,154,4990,157.1,176
Tuff week 😮‍💨,5.7467496935,2023-09-10T21:49:21Z,13,2752,142.1,157
Worst run of the cycle so far,14.734881208500001,2023-09-09T12:34:39Z,97,7104,155.9,173
Rainy run,4.1472164653000005,2023-09-08T20:58:17Z,14,2023,145.4,164
Tough MWLR. Keep on grinding,9.2358721327,2023-09-08T00:02:19Z,80,4391,156.1,176
Post fantasy football draft run,6.9131251976,2023-09-07T00:14:31Z,11,3455,147.6,160
Evening Run,1.2513169198,2023-09-06T00:12:17Z,7,651,150.5,163
Progression run...,7.0943791183,2023-09-05T23:09:26Z,84,3224,161.5,187
Recovery Treadmill run,4.2903182066,2023-09-03T20:56:28Z,0,2237,131.7,143
Went for the negative split 20 miler,19.002146551,2023-09-02T11:57:20Z,101,7929,155.3,182
4 shakeout,4.004798232100001,2023-09-01T21:17:22Z,7,1879,151,167
Trailz in good weather ☁️🌡️,9.570977513,2023-08-31T22:21:59Z,113,4978,140.1,161
MWLR,11.1211117467,2023-08-30T20:50:29Z,124,5558,146.4,174
Can't wait for summer to end,8.278028736200001,2023-08-29T21:19:04Z,23.8,3753,151.7,172
Hit the wall 🧱,19.2272071272,2023-08-27T13:39:34Z,52,8511,159,176
Another ez run,5.213426964200001,2023-08-26T15:34:34Z,50,3004,138.8,155
Recovery run in nasty weather,5.1299768389,2023-08-25T19:14:05Z,10,2597,143.6,159
Warmdown,2.1519320472,2023-08-24T22:03:25Z,21,1091,156.9,167
Wet n wild tempo run,6.0844026949,2023-08-24T21:17:27Z,70,2402,164.1,188
Midweek longrun ft Jimmy Eats World,10.6504853513,2023-08-23T21:53:41Z,132,4965,155.2,171
Lower loop recovery,5.005143405,2023-08-21T21:43:08Z,57,2780,141.7,161
TRUST THE PROCESS 🚂,18.0049082331,2023-08-20T12:32:43Z,104,7732,159.5,182
35 min treadmill with IG Reels,3.9070565738000003,2023-08-19T13:27:21Z,0,2100,123.3,146
1 hour steady,8.3658905956,2023-08-18T20:18:38Z,32,3800,151.7,168
Midweek long run: Central Park -> LIC -> Dumplings,11.536622534400001,2023-08-17T21:21:52Z,130.1,5624,149.3,176
Humidity was brutal today. Gotta love it!,8.1517040119,2023-08-16T21:24:05Z,15,3432,164.2,183
Easy but sweaty ,5.394743022,2023-08-15T22:03:09Z,60,2832,138.7,160
Night Train 🚞,17.327862391500002,2023-08-13T23:45:27Z,110,7918,158.6,180
Summer streets with Eric and Lawdog,5.0044598969,2023-08-12T14:05:58Z,47,2854,135.9,151
Central Park cruisin w Eric,8.1930251834,2023-08-11T21:37:01Z,108,4121,148.9,171
